ACCOUNT_ID,BRAND_D,TRANSACTION_ID,TRANSACTION_DATE,ORIGINAL_AMOUNT,TRANSACTION_STATUS,CHANNEL,ACCOUNT_MSISDN
ACC_10001,Facture Mobile Postpayé,TX_20260301_0001,2026-03-01 08:01:07,10.000,SUCCESS,Application My TT,21698000123
ACC_10002,Pass Internet 25Go,TX_20260301_0002,2026-03-01 08:02:14,15.000,SUCCESS,Portail Web TT,21698000246
ACC_10003,Carte Recharge 5DT,TX_20260301_0003,2026-03-01 08:03:21,20.000,SUCCESS,Espace TT Centre Urbain,21698000369
ACC_10004,Carte Recharge 10DT,TX_20260301_0004,2026-03-01 08:04:28,25.000,DECLINED,POS Distributeur Tunis,21698000492
ACC_10005,Transfert de Solde,TX_20260301_0005,2026-03-01 08:05:35,50.000,REFUND,Borne Libre Service,21698000615
ACC_10006,Forfait 5G Illimité,TX_20260301_0006,2026-03-01 08:06:42,1.400,SUCCESS,USSD *100#,21698000738
ACC_10007,Recharge Light,TX_20260301_0007,2026-03-01 08:07:49,3.500,SUCCESS,Application My TT,21698000861
ACC_10008,Recharge Express TT,TX_20260301_0008,2026-03-01 08:08:56,5.000,SUCCESS,Portail Web TT,21698000984
ACC_10009,Facture Mobile Postpayé,TX_20260301_0009,2026-03-01 08:09:03,10.000,SUCCESS,Espace TT Centre Urbain,21698001107
ACC_10010,Pass Internet 25Go,TX_20260301_0010,2026-03-01 08:10:10,15.000,DECLINED,POS Distributeur Tunis,21698001230
ACC_10011,Carte Recharge 5DT,TX_20260301_0011,2026-03-01 08:11:17,20.000,REFUND,Borne Libre Service,21698001353
ACC_10012,Carte Recharge 10DT,TX_20260301_0012,2026-03-01 08:12:24,25.000,SUCCESS,USSD *100#,21698001476
ACC_10013,Transfert de Solde,TX_20260301_0013,2026-03-01 08:13:31,50.000,SUCCESS,Application My TT,21698001599
ACC_10014,Forfait 5G Illimité,TX_20260301_0014,2026-03-01 08:14:38,1.400,SUCCESS,Portail Web TT,21698001722
ACC_10015,Recharge Light,TX_20260301_0015,2026-03-01 08:15:45,3.500,SUCCESS,Espace TT Centre Urbain,21698001845
ACC_10016,Recharge Express TT,TX_20260301_0016,2026-03-01 08:16:52,5.000,DECLINED,POS Distributeur Tunis,21698001968
ACC_10017,Facture Mobile Postpayé,TX_20260301_0017,2026-03-01 08:17:59,10.000,REFUND,Borne Libre Service,21698002091
